EVENTNUM,EVENTMSGTYPE,HOMEDESCRIPTION,VISITORDESCRIPTION,TEAM
144,1,Patterson 9' Driving Floating Bank Jump Shot (4 PTS) (Lowry 4 AST),,TOR
145,9,,Bulls Timeout: Regular (Reg.2 Short 0),
147,8,,SUB: Moore FOR Snell,CHI
148,8,,SUB: Butler FOR McDermott,CHI
149,2,,MISS Portis 6' Driving Hook Shot,CHI
150,4,Patterson REBOUND (Off:0 Def:4),,TOR
151,2,MISS Patterson 24' 3PT Jump Shot,,TOR
152,4,,Brooks REBOUND (Off:0 Def:2),CHI
153,1,,Gibson 15' Jump Shot (4 PTS) (Portis 1 AST),CHI
154,1,Joseph 2' Driving Layup (6 PTS),,TOR
155,2,,MISS Brooks 25' 3PT Jump Shot,CHI
156,4,Biyombo REBOUND (Off:1 Def:2),,TOR
159,2,MISS Joseph 2' Driving Layup,Gibson BLOCK (1 BLK),TOR
160,4,Biyombo REBOUND (Off:2 Def:2),,TOR
161,6,,Portis P.FOUL (P1.T3) (R.Garretson),CHI
162,8,SUB: Carroll FOR Ross,,TOR
163,8,SUB: DeRozan FOR Joseph,,TOR
164,8,,SUB: Hinrich FOR Brooks,CHI
165,8,,SUB: Mirotic FOR Portis,CHI
166,1,DeRozan 2' Driving Layup (12 PTS),,TOR
167,1,,Mirotic 24' 3PT Jump Shot (8 PTS) (Gibson 3 AST),CHI
168,1,Biyombo 1' Layup (4 PTS) (Lowry 5 AST),,TOR
170,5,Lowry STEAL (1 STL),Mirotic Lost Ball Turnover (P1.T8),CHI
171,1,Carroll 2' Running Layup (7 PTS) (Lowry 6 AST),,TOR
173,9,,Bulls Timeout: Short (Reg.2 Short 1),
174,8,SUB: Valanciunas FOR Biyombo,,TOR
176,8,,SUB: Gasol FOR Gibson,CHI
177,8,,SUB: McDermott FOR Butler,CHI
179,2,,MISS Moore 15' Pullup Jump Shot,CHI
180,4,Lowry REBOUND (Off:0 Def:4),,TOR
181,5,Lowry Lost Ball Turnover (P2.T4),Moore STEAL (1 STL),TOR
182,2,,MISS McDermott  3PT Jump Shot,CHI
183,4,Carroll REBOUND (Off:0 Def:1),,TOR
184,6,,McDermott S.FOUL (P2.T4) (N.Buchert),CHI
185,3,MISS Lowry Free Throw 1 of 3,,TOR
186,4,RAPTORS Rebound,,
187,3,Lowry Free Throw 2 of 3 (7 PTS),,TOR
189,8,SUB: Scola FOR Patterson,,TOR
190,3,Lowry Free Throw 3 of 3 (8 PTS),,TOR
192,6,Carroll S.FOUL (P1.T2) (N.Buchert),,TOR
193,3,,Mirotic Free Throw 1 of 2 (9 PTS),CHI
195,3,,Mirotic Free Throw 2 of 2 (10 PTS),CHI
197,2,MISS DeRozan 26' 3PT Jump Shot,,TOR
198,4,RAPTORS Rebound,,
199,5,RAPTORS Turnover: Shot Clock (T#5),,
201,1,,Gasol 19' Jump Shot (10 PTS) (Hinrich 3 AST),CHI
202,1,Scola 2' Driving Layup (7 PTS) (Lowry 7 AST),,TOR
203,1,,Moore 2' Driving Layup (2 PTS) (Gasol 3 AST),CHI
204,9,RAPTORS Timeout: Regular (Full 2 Short 0),,
206,8,SUB: Joseph FOR Lowry,,TOR
208,2,MISS DeRozan 20' Pullup Jump Shot,,TOR
209,4,,Hinrich REBOUND (Off:0 Def:1),CHI
210,2,Valanciunas BLOCK (1 BLK),MISS Moore 5' Driving Hook Shot,CHI
211,4,RAPTORS Rebound,,
212,1,Joseph 25' 3PT Jump Shot (9 PTS) (DeRozan 2 AST),,TOR
213,6,Scola S.FOUL (P1.T3) (N.Buchert),,TOR
214,3,,Mirotic Free Throw 1 of 2 (11 PTS),CHI
216,3,,Mirotic Free Throw 2 of 2 (12 PTS),CHI
219,2,MISS DeRozan 8' Driving Floating Jump Shot,,TOR
220,4,DeRozan REBOUND (Off:1 Def:0),,TOR
221,1,DeRozan 2' Putback Layup (14 PTS),,TOR
222,2,Valanciunas BLOCK (2 BLK),MISS Gasol 9' Turnaround Hook Shot,CHI
223,4,,Hinrich REBOUND (Off:1 Def:1),CHI
224,2,,MISS Hinrich 24' 3PT Jump Shot,CHI
225,4,Valanciunas REBOUND (Off:2 Def:3),,TOR
226,1,DeRozan 15' Pullup Jump Shot (16 PTS) (Joseph 3 AST),,TOR
227,6,,Hinrich S.FOUL (P1.PN) (R.Garretson),CHI
228,3,DeRozan Free Throw 1 of 1 (17 PTS),,TOR
231,2,,MISS Gasol 1' Driving Floating Jump Shot,CHI
232,4,,Bulls Rebound,
233,6,Scola L.B.FOUL (P2.PN) (R.Garretson),,TOR
234,3,,Gasol Free Throw 1 of 2 (11 PTS),CHI
236,8,,SUB: Snell FOR McDermott,CHI
237,3,,Gasol Free Throw 2 of 2 (12 PTS),CHI
